Nazwisko i imiona;Nazwa komitetu
Henryka Krystyna KRZYWONOS-STRYCHARSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Kazimierz Florian PLOCKE;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Stanisàaw J¢zef LAMCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Rafaà SIEMASZKO;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Mirosàaw Tadeusz SUCHO„;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Stanisàaw SZWED;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Grzegorz Paweà PUDA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Przemysàaw Mieczysàaw DRABEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Grzegorz Krzysztof GAΩA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Bronisàaw Edward FOLTYN;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Mirosàawa NYKIEL;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maàgorzata Anna P®PEK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Apoloniusz Leopold TAJNER;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Henryk KIEPURA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Lidia Ewa BURZY„SKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Szymon Stanisàaw GIΩY„SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Andrzej Janusz GAWRON;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Izabela Dorota LESZCZYNA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Andrzej SZEWI„SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Przemysàaw Jarosàaw WITEK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr Paweà STRACH;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Wanda Hanna NOWICKA;KOMITET WYBORCZY NOWA LEWICA
Boæena Teresa BORYS-SZOPA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jarosàaw Wiesàaw WIECZOREK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Wojciech Piotr SZARAMA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Krystyna Maria SZUMILAS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Krzysztof GZIK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marta Joanna GOLBIK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Tomasz Marian GùOGOWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
ùukasz Tomasz OSMALAK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Bolesàaw Grzegorz PIECHA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Paweà JABùO„SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Michaà Piotr WOó;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Grzegorz MATUSIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Roman Henryk FRITZ;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Krzysztof Jan GADOWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Gabriela Teresa LENARTOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Grzegorz KRZ§KAùA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Michaà Sebastian GRAMATYKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Maciej KONIECZNY;KOMITET WYBORCZY NOWA LEWICA
Mateusz Jakub MORAWIECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Michaà Marek W‡JCIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Marek Jacek WESOùY;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jerzy Jan POLACZEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Grzegorz Adam PùACZEK;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Borys Piotr BUDKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Monika Anna ROSA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Wojciech Piotr KR‡L;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Ewa Edyta KOùODZIEJ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
ùukasz Andrzej óCIEBIOROWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Kamil Wiesàaw WNUK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Wàodzimierz CZARZASTY;KOMITET WYBORCZY NOWA LEWICA
ùukasz Karol LITEWKA;KOMITET WYBORCZY NOWA LEWICA
Ewa Danuta MALIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Waldemar Franciszek ANDZEL;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Robert Piotr WARWAS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Wojciech Paweà SAùUGA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Barbara DOLNIAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Mateusz Andrzej BOCHENEK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Czesàaw Adam SIEKIERSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Rafaà Marcin KASPRZYK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Andrzej Jan SZEJNA;KOMITET WYBORCZY NOWA LEWICA
Jarosàaw Aleksander KACZY„SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Anna Maria KRUPKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Krzysztof Bogdan LIPIEC;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Agata Katarzyna WOJTYSZEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Andrzej Michaà KRYJ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Michaà CIEóLAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Mariusz Marek GOSEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Bartàomiej DORYWALSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Michaà Jan WAWER;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Marzena OKùA-DREWNOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Artur Daniel GIERADA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Lucjan Marek PIETRZCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Roman Jacek GIERTYCH;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Zbigniew ZIEJEWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Leonard Seweryn KRASULSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Teresa WILK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Andrzej óLIWKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Robert GONTARZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jacek PROTAS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Elæbieta Kazimiera GELERT;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Stanisàaw Andrzej GORCZYCA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Urszula Stefania PASùAWSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Marcin Robert KULASEK;KOMITET WYBORCZY NOWA LEWICA
Janusz Antoni CIESZY„SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Artur Henryk CHOJECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Iwona Ewa ARENT;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Olga Ewa SEMENIUK-PATKOWSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Janusz Wàadysàaw CICHO„;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Anna WOJCIECHOWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Paweà PAPKE;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maciej Stanisàaw WR‡BEL;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Andrzej Marian GRZYB;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Barbara Anna OLIWIECKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Wiesàaw Andrzej SZCZEPA„SKI;KOMITET WYBORCZY NOWA LEWICA
Marlena Magdalena MAL§G;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Katarzyna S‡JKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jan Michaà DZIEDZICZAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jan MOSI„SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Piotr Marek KALETA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jarosàaw Piotr URBANIAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Karolina Monika PAWLICZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Grzegorz Stanisàaw RUSIECKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Mariusz Sebastian WITCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Paulina HENNIG-KLOSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Michaà PYRZYK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Tadeusz TOMASZEWSKI;KOMITET WYBORCZY NOWA LEWICA
Zbigniew Grzegorz HOFFMANN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Witold Wojciech CZARNECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Zbigniew DOLATA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Ryszard BARTOSIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Michaà KOùODZIEJCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Tomasz Piotr NOWAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krzysztof Michaà PASZYK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Adam Sàawomir LUBO„SKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Krzysztof Wàadysàaw CZARNECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Grzegorz PIECHOWIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Marcin Bartosz PORZUCEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jakub Adam RUTNICKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maria Maàgorzata JANYSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr Krzysztof GùOWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Henryk Marian SZOPI„SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Ewa Katarzyna SCHéDLER;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Jacek Jerzy TOMCZAK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Katarzyna UEBERHAN;KOMITET WYBORCZY NOWA LEWICA
Szymon Andrzej SZYNKOWSKI VEL S®K;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Bartàomiej Piotr WR‡BLEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Adam Stanisàaw SZùAPKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Katarzyna Renata KIERZEK-KOPERSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marcin Rafaà BOSACKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Bartosz J¢zef ZAWIEJA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Franciszek Wojciech STERCZEWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Radosàaw LUBCZYK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Czesàaw HOC;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Paweà Maciej SZEFERNAKER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Maàgorzata Joanna GOLI„SKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Bartosz Adam ARùUKOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Tomasz HOK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Renata Urszula RAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Paweà SUSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Jarosàaw Michaà RZEPA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Dariusz Krzysztof WIECZOREK;KOMITET WYBORCZY NOWA LEWICA
Marek J¢zef GR‡BARCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Artur Lesàaw SZAùABAWKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Zbigniew BOGUCKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Dariusz Piotr MATECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Sàawomir Witold NITRAS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Magdalena FILIKS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Arkadiusz MARCHEWKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Artur Jarosàaw ù§CKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Grzegorz Bernard NAPIERALSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Patryk Bartàomiej JASKULSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
